faixa_etaria,genero,etnia,idade,pcd,xp_profissional_prejudicada,uf_residencia,nivel_ensino,area_formacao,situacao_trabalho,cargo_atual,faixa_salarial,tempo_experiencia_dados,satisfacao_remuneracao,importancia_salario_escolha_emprego,satisfacao_beneficios,importancia_beneficios_escolha_emprego
25-29,Masculino,Preta,28,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,RJ,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,de R$ 1.001/mês a R$ 2.000/mês,de 3 a 4 anos,1.0,1.0,1.0,0.0
25-29,Feminino,Branca,28,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",SP,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Analista de Suporte/Analista Técnico,de R$ 6.001/mês a R$ 8.000/mês,Não tenho experiência na área de dados,0.0,1.0,0.0,0.0
25-29,Masculino,Branca,28,Não,,DF,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Cientista de Dados/Data Scientist,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,1.0,1.0,0.0,0.0
25-29,Masculino,Branca,28,Não,,SP,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Analytics Engineer,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,,1.0,,0.0
25-29,Feminino,Branca,28,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,ES,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),,de R$ 8.001/mês a R$ 12.000/mês,de 7 a 10 anos,,0.0,,0.0
25-29,Feminino,Parda,28,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",PR,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Analytics Engineer,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,,1.0,,1.0
25-29,Masculino,Branca,28,Não,,SP,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empreendedor ou Empregado (CNPJ),,de R$ 16.001/mês a R$ 20.000/mês,de 5 a 6 anos,1.0,1.0,0.0,0.0
25-29,Masculino,Branca,28,Não,,CE,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Analista de Dados/Data Analyst,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,,1.0,,0.0
25-29,Feminino,Branca,28,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,SP,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empreendedor ou Empregado (CNPJ),Cientista de Dados/Data Scientist,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,,1.0,,0.0
25-29,Masculino,Branca,28,Não,,SP,Graduação/Bacharelado,Química / Física,Empreendedor ou Empregado (CNPJ),Analista de Dados/Data Analyst,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,1.0,1.0,0.0,0.0
25-29,Masculino,Branca,28,Não,,ES,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Cientista de Dados/Data Scientist,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,,1.0,,0.0
25-29,Feminino,Branca,28,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",SP,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Cientista de Dados/Data Scientist,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,1.0,1.0,0.0,0.0
25-29,Masculino,Branca,28,Não,,SP,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Analista de Dados/Data Analyst,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,,1.0,,0.0
25-29,Feminino,Branca,28,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",SP,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,Analytics Engineer,de R$ 16.001/mês a R$ 20.000/mês,de 1 a 2 anos,,1.0,,0.0
25-29,Masculino,Branca,28,Não,,SP,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Engenheiro de Dados/Data Engineer/Data Architect,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,,0.0,,0.0
25-29,Masculino,Branca,28,Não,,RJ,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo / Ciências Sociais,Empregado (CLT),,de R$ 12.001/mês a R$ 16.000/mês,de 5 a 6 anos,,1.0,,1.0
25-29,Feminino,Branca,28,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,SC,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empreendedor ou Empregado (CNPJ),,de R$ 8.001/mês a R$ 12.000/mês,de 7 a 10 anos,,1.0,,0.0
25-29,Masculino,Branca,28,Não,,SP,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,Engenheiro de Dados/Data Engineer/Data Architect,de R$ 12.001/mês a R$ 16.000/mês,de 5 a 6 anos,,1.0,,0.0
25-29,Masculino,Branca,28,Não,,MG,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,Analista de BI/BI Analyst,de R$ 16.001/mês a R$ 20.000/mês,de 3 a 4 anos,,1.0,,0.0
25-29,Masculino,Branca,28,Não,,RS,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Analista de Negócios/Business Analyst,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,0.0,1.0,0.0,0.0
25-29,Masculino,Branca,28,Não,,MG,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Cientista de Dados/Data Scientist,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,0.0,1.0,0.0,0.0
25-29,Masculino,Parda,28,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",PB,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Engenheiro de Dados/Data Engineer/Data Architect,de R$ 12.001/mês a R$ 16.000/mês,de 5 a 6 anos,0.0,1.0,0.0,0.0
25-29,Feminino,Preta,28,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",RJ,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Analista de Dados/Data Analyst,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,,1.0,,1.0
25-29,Masculino,Branca,28,Não,,RN,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Engenheiro de Machine Learning/ML Engineer/AI Engineer,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,,1.0,,0.0
25-29,Masculino,Branca,28,Não,,SP,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,,0.0,,0.0
25-29,Feminino,Branca,28,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,MG,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Analytics Engineer,de R$ 16.001/mês a R$ 20.000/mês,de 5 a 6 anos,,1.0,,0.0
25-29,Masculino,Branca,28,Não,,SP,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Engenheiro de Machine Learning/ML Engineer/AI Engineer,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,0.0,1.0,0.0,0.0
25-29,Masculino,Parda,28,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",RS,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Outra Opção,de R$ 12.001/mês a R$ 16.000/mês,de 5 a 6 anos,,1.0,,0.0
25-29,Masculino,Preta,28,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",RJ,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Engenheiro de Dados/Data Engineer/Data Architect,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,,1.0,,0.0
25-29,Masculino,Parda,28,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,CE,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Engenheiro de Dados/Data Engineer/Data Architect,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,,1.0,,0.0
25-29,Masculino,Branca,28,Não,,SP,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Cientista de Dados/Data Scientist,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,,1.0,,0.0
25-29,Masculino,Parda,28,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,Estudante de Graduação,Outras Engenharias (não incluir engenharia de software ou TI),Vivo fora do Brasil e trabalho para empresa de fora do Brasil,,de R$ 20.001/mês a R$ 25.000/mês,de 5 a 6 anos,,1.0,,0.0
25-29,Feminino,Branca,28,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,SC,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Analista de Dados/Data Analyst,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,,0.0,,0.0
25-29,Masculino,Branca,28,Sim,"Sim, acredito que minha experiência profissional seja afetada devido ao fato de ser PCD",PA,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,de R$ 3.001/mês a R$ 4.000/mês,de 3 a 4 anos,1.0,0.0,1.0,0.0
25-29,Feminino,Branca,28,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",DF,Pós-graduação,Outra opção,Empregado (CLT),Engenheiro de Dados/Data Engineer/Data Architect,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,,1.0,,0.0
25-29,Feminino,Preta,28,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",SP,Pós-graduação,Outra opção,Empregado (CLT),Analista de BI/BI Analyst,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,,1.0,,1.0
25-29,Masculino,Branca,28,Não,,ES,Graduação/Bacharelado,Outra opção,Empreendedor ou Empregado (CNPJ),,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,1.0,1.0,1.0,0.0
25-29,Masculino,Preta,28,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",RJ,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Engenheiro de Dados/Data Engineer/Data Architect,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,1.0,1.0,0.0,0.0
25-29,Masculino,Branca,28,Não,,SP,Pós-graduação,Química / Física,Empregado (CLT),Analista de Dados/Data Analyst,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,,1.0,,0.0
25-29,Masculino,Parda,28,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",BA,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Analytics Engineer,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,0.0,1.0,1.0,0.0
25-29,Masculino,Parda,29,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,DF,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empreendedor ou Empregado (CNPJ),,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,1.0,1.0,0.0,0.0
25-29,Masculino,Branca,29,Não,,PR,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Cientista de Dados/Data Scientist,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,,1.0,,0.0
25-29,Masculino,Parda,29,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,SP,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),,de R$ 16.001/mês a R$ 20.000/mês,de 3 a 4 anos,,1.0,,0.0
25-29,Masculino,Branca,29,Não,,PR,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,Engenheiro de Machine Learning/ML Engineer/AI Engineer,de R$ 30.001/mês a R$ 40.000/mês,de 5 a 6 anos,,1.0,,1.0
25-29,Masculino,Branca,29,Não,,MG,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empreendedor ou Empregado (CNPJ),Analista de Dados/Data Analyst,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,,1.0,,0.0
25-29,Masculino,Parda,29,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,MA,Pós-graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Empregado (CLT),Engenheiro de Dados/Data Engineer/Data Architect,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,,1.0,,1.0
25-29,Feminino,Branca,29,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,SP,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Analista de Dados/Data Analyst,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,,1.0,,0.0
25-29,Masculino,Branca,29,Não,,PE,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Analista de BI/BI Analyst,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,1.0,1.0,0.0,1.0
25-29,Masculino,Branca,29,Não,,SP,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empreendedor ou Empregado (CNPJ),,de R$ 30.001/mês a R$ 40.000/mês,de 5 a 6 anos,,1.0,,0.0
25-29,Masculino,Branca,29,Não,,RS,Não tenho graduação formal,,Empreendedor ou Empregado (CNPJ),,Acima de R$ 40.001/mês,de 5 a 6 anos,,1.0,,0.0
25-29,Feminino,Parda,29,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",PE,Pós-graduação,Outra opção,Empregado (CLT),Analista de Negócios/Business Analyst,de R$ 3.001/mês a R$ 4.000/mês,de 3 a 4 anos,1.0,1.0,0.0,1.0
25-29,Masculino,Branca,29,Não,,MT,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Analista de Dados/Data Analyst,de R$ 6.001/mês a R$ 8.000/mês,de 5 a 6 anos,,1.0,,0.0
25-29,Masculino,Parda,29,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,RJ,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Engenheiro de Dados/Data Engineer/Data Architect,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,,1.0,,0.0
25-29,Feminino,Branca,29,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",BA,Mestrado,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Engenheiro de Dados/Data Engineer/Data Architect,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,,1.0,,1.0
25-29,Feminino,Branca,29,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",SP,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,,1.0,,0.0
25-29,Masculino,Parda,29,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,SP,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,,1.0,,0.0
25-29,Feminino,Parda,29,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",MG,Estudante de Graduação,Outra opção,Empregado (CLT),Analista de BI/BI Analyst,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,0.0,1.0,0.0,0.0
25-29,Masculino,Branca,29,Não,,SP,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Engenheiro de Dados/Data Engineer/Data Architect,de R$ 12.001/mês a R$ 16.000/mês,de 5 a 6 anos,,1.0,,1.0
25-29,Masculino,Branca,29,Não,,PR,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Engenheiro de Dados/Data Engineer/Data Architect,de R$ 16.001/mês a R$ 20.000/mês,de 5 a 6 anos,0.0,1.0,0.0,0.0
25-29,Masculino,Branca,29,Não,,ES,Mestrado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Empregado (CLT),Analista de Dados/Data Analyst,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,,1.0,,0.0
25-29,Masculino,Branca,29,Não,,SP,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Cientista de Dados/Data Scientist,de R$ 12.001/mês a R$ 16.000/mês,de 5 a 6 anos,0.0,1.0,0.0,0.0
25-29,Masculino,Branca,29,Não,,SP,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),,de R$ 20.001/mês a R$ 25.000/mês,de 7 a 10 anos,0.0,0.0,0.0,0.0
25-29,Masculino,Branca,29,Não,,SP,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Cientista de Dados/Data Scientist,de R$ 20.001/mês a R$ 25.000/mês,de 3 a 4 anos,,1.0,,0.0
25-29,Feminino,Branca,29,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",SP,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Analista de Dados/Data Analyst,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,1.0,1.0,1.0,1.0
25-29,Masculino,Parda,29,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,MG,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,,1.0,,0.0
25-29,Masculino,Branca,29,Não,,,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empreendedor ou Empregado (CNPJ),Analista de Dados/Data Analyst,Acima de R$ 40.001/mês,de 5 a 6 anos,,1.0,,0.0
25-29,Masculino,Branca,29,Não,,SP,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Analista de Dados/Data Analyst,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,0.0,1.0,0.0,0.0
25-29,Masculino,Branca,29,Não,,ES,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),,de R$ 20.001/mês a R$ 25.000/mês,de 5 a 6 anos,,1.0,,0.0
25-29,Masculino,Branca,29,Não,,MG,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,1.0,0.0,0.0,0.0
25-29,Masculino,Branca,29,Não,,MG,Mestrado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Empregado (CLT),Analista de BI/BI Analyst,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,,1.0,,1.0
25-29,Feminino,Branca,29,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",RS,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,,0.0,,1.0
25-29,Masculino,Branca,29,Não,,SP,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Engenheiro de Machine Learning/ML Engineer/AI Engineer,de R$ 16.001/mês a R$ 20.000/mês,de 3 a 4 anos,,1.0,,0.0
25-29,Masculino,Parda,29,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,MG,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Engenheiro de Dados/Data Engineer/Data Architect,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,,0.0,,0.0
25-29,Feminino,Branca,29,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,PR,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Cientista de Dados/Data Scientist,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,,0.0,,0.0
25-29,Masculino,Preta,29,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,GO,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Estagiário,Analista de BI/BI Analyst,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,,0.0,,1.0
25-29,Masculino,Branca,29,Não,,SP,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empreendedor ou Empregado (CNPJ),Outras Engenharias (não inclui dev),de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,0.0,1.0,0.0,0.0
25-29,Masculino,Branca,29,Não,,GO,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Analista de BI/BI Analyst,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,1.0,1.0,0.0,1.0
25-29,Feminino,Branca,29,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",SP,Mestrado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Empregado (CLT),Analista de BI/BI Analyst,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,,1.0,,0.0
25-29,Masculino,Parda,29,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,BA,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empreendedor ou Empregado (CNPJ),Analista de BI/BI Analyst,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,0.0,1.0,0.0,0.0
25-29,Feminino,Branca,29,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",GO,Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Cientista de Dados/Data Scientist,de R$ 3.001/mês a R$ 4.000/mês,de 3 a 4 anos,,1.0,,0.0
25-29,Masculino,Branca,29,Não,,SC,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Analista de BI/BI Analyst,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,,0.0,,0.0
25-29,Feminino,Preta,29,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero, Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Analista de Dados/Data Analyst,de R$ 8.001/mês a R$ 12.000/mês,de 7 a 10 anos,1.0,1.0,0.0,0.0
25-29,Masculino,Branca,29,Não,,SP,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Analista de Dados/Data Analyst,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,,1.0,,0.0
25-29,Masculino,Parda,29,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,SP,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Analista de Dados/Data Analyst,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,,1.0,,1.0
25-29,Masculino,Branca,29,Não,,SP,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Analista de Dados/Data Analyst,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,,1.0,,0.0
25-29,Feminino,Branca,29,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",RS,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo / Ciências Sociais,Empregado (CLT),Outra Opção,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,,1.0,,0.0
25-29,Masculino,Branca,29,Não,,SP,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,,1.0,,1.0
25-29,Feminino,Parda,29,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",MG,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Estagiário,Outra Opção,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,,1.0,,0.0
25-29,Masculino,Branca,29,Não,,PE,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,Analista de BI/BI Analyst,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,,1.0,,0.0
25-29,Masculino,Branca,29,Não,,,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),Vivo fora do Brasil e trabalho para empresa de fora do Brasil,Analista de Dados/Data Analyst,de R$ 20.001/mês a R$ 25.000/mês,de 3 a 4 anos,,1.0,,1.0
25-29,Masculino,Branca,29,Não,,SP,Graduação/Bacharelado,Outra opção,Empregado (CLT),Analista de Negócios/Business Analyst,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,0.0,1.0,0.0,0.0
25-29,Feminino,Parda,29,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",MA,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Cientista de Dados/Data Scientist,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,1.0,0.0,1.0,1.0
25-29,Masculino,Branca,29,Não,,SP,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Analista de Dados/Data Analyst,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,1.0,1.0,0.0,1.0
25-29,Feminino,Parda,29,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",RJ,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Cientista de Dados/Data Scientist,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,1.0,0.0,0.0,0.0
