faixa_etaria,genero,etnia,idade,pcd,xp_profissional_prejudicada,uf_residencia,nivel_ensino,area_formacao,situacao_trabalho,cargo_atual,faixa_salarial,tempo_experiencia_dados,satisfacao_remuneracao,importancia_salario_escolha_emprego,satisfacao_beneficios,importancia_beneficios_escolha_emprego
17-21,Masculino,Branca,19,Não,,PR,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Analista de Suporte/Analista Técnico,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,0.0,1.0,0.0,0.0
17-21,Feminino,Branca,20,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",SP,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Analista de Dados/Data Analyst,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,0.0,1.0,0.0,0.0
17-21,Masculino,Branca,20,Não,,ES,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Analista de Dados/Data Analyst,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,,1.0,,0.0
17-21,Feminino,Branca,20,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,SP,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Analytics Engineer,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,,1.0,,0.0
17-21,Masculino,Branca,20,Não,,ES,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Analista de BI/BI Analyst,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,,0.0,,0.0
17-21,Masculino,Branca,20,Não,,SP,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Engenheiro de Dados/Data Engineer/Data Architect,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,,1.0,,0.0
17-21,Masculino,Branca,20,Não,,RS,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Analista de Dados/Data Analyst,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,,1.0,,0.0
17-21,Feminino,Parda,20,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,DF,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Analytics Engineer,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,,1.0,,0.0
17-21,Feminino,Branca,20,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",RJ,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Estagiário,Analista de Dados/Data Analyst,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,0.0,0.0,0.0,0.0
17-21,Masculino,Parda,20,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,SP,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Estagiário,Outra Opção,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,,1.0,,1.0
17-21,Masculino,Branca,20,Não,,SP,Estudante de Graduação,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Analista de BI/BI Analyst,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,,0.0,,0.0
17-21,Masculino,Parda,20,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,RJ,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Analista de BI/BI Analyst,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,,1.0,,1.0
